,jobNo,time,State,Success
0,372,Wed Apr 10 01:08:37 2024,Start,-
1,372,Wed Apr 10 01:09:26 2024,End,Success
2,448,Wed Apr 10 01:10:18 2024,Start,-
3,448,Wed Apr 10 01:11:04 2024,End,Fail
4,428,Wed Apr 10 01:11:58 2024,Start,-
5,428,Wed Apr 10 01:12:47 2024,End,Success
6,449,Wed Apr 10 01:13:39 2024,Start,-
7,449,Wed Apr 10 01:14:28 2024,End,Success
8,483,Wed Apr 10 01:15:19 2024,Start,-
9,483,Wed Apr 10 01:16:05 2024,End,Fail
10,14,Wed Apr 10 01:16:59 2024,Start,-
11,14,Wed Apr 10 01:17:46 2024,End,Fail
12,752,Wed Apr 10 01:18:40 2024,Start,-
13,752,Wed Apr 10 01:19:26 2024,End,Fail
14,661,Wed Apr 10 01:20:20 2024,Start,-
15,661,Wed Apr 10 01:21:07 2024,End,Fail
16,428,Wed Apr 10 01:22:01 2024,Start,-
17,428,Wed Apr 10 01:22:47 2024,End,Fail
18,726,Wed Apr 10 01:23:41 2024,Start,-
19,726,Wed Apr 10 01:24:30 2024,End,Success
20,182,Wed Apr 10 01:25:22 2024,Start,-
21,182,Wed Apr 10 01:26:11 2024,End,Success
22,426,Wed Apr 10 01:27:02 2024,Start,-
23,426,Wed Apr 10 01:27:48 2024,End,Fail
24,107,Wed Apr 10 01:28:42 2024,Start,-
25,107,Wed Apr 10 01:29:31 2024,End,Success
26,522,Wed Apr 10 01:30:23 2024,Start,-
27,522,Wed Apr 10 01:31:09 2024,End,Fail
